id,project,version,number_method_by_version,modified_class,focal_class,path_focal_class_in_project,test_class,path_test_class_scaffolding,package_focal_class,imports_focal_class,src_fm_fc_ms_ff,src_fm_fc_dctx,src_fm_fc_dctx_priv
Cli_1_0_CommandLine,Cli,1,0,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public boolean hasOption(String opt) { return options.contains( resolveOption(opt)); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public boolean hasOption(String opt) { return options.contains( resolveOption(opt)); } CommandLine(); private Option resolveOption(String); private Set options = new HashSet(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public boolean hasOption(String opt) { return options.contains( resolveOption(opt)); } CommandLine(); <PRIVATE_FCTX>private Option resolveOption(String); private Set options = new HashSet();</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_1_CommandLine,Cli,1,1,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public boolean hasOption(char opt) { return hasOption(String.valueOf(opt)); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public boolean hasOption(char opt) { return hasOption(String.valueOf(opt)); } CommandLine(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public boolean hasOption(char opt) { return hasOption(String.valueOf(opt)); } CommandLine(); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_2_CommandLine,Cli,1,2,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public String[] getArgs() { String[] answer = new String[args.size()]; args.toArray(answer); return answer; } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public String[] getArgs() { String[] answer = new String[args.size()]; args.toArray(answer); return answer; } CommandLine(); private List args = new LinkedList(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public String[] getArgs() { String[] answer = new String[args.size()]; args.toArray(answer); return answer; } CommandLine(); <PRIVATE_FCTX>private List args = new LinkedList();</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_3_CommandLine,Cli,1,3,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public List getArgList() { return args; } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public List getArgList() { return args; } CommandLine(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public List getArgList() { return args; } CommandLine(); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_4_CommandLine,Cli,1,4,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public Iterator iterator() { return options.iterator(); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public Iterator iterator() { return options.iterator(); } CommandLine(); private Set options = new HashSet(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public Iterator iterator() { return options.iterator(); } CommandLine(); <PRIVATE_FCTX>private Set options = new HashSet();</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_5_CommandLine,Cli,1,5,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public Option[] getOptions() { Collection processed = options; Option[] optionsArray = new Option[processed.size()]; return (Option[]) processed.toArray(optionsArray); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public Option[] getOptions() { Collection processed = options; Option[] optionsArray = new Option[processed.size()]; return (Option[]) processed.toArray(optionsArray); } CommandLine(); private Set options = new HashSet(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public Option[] getOptions() { Collection processed = options; Option[] optionsArray = new Option[processed.size()]; return (Option[]) processed.toArray(optionsArray); } CommandLine(); <PRIVATE_FCTX>private Set options = new HashSet();</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_6_CommandLine,Cli,1,6,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public Object getOptionObject(String opt) { String res = getOptionValue(opt); Option option = resolveOption(opt); if (option == null) { return null; } Object type = option.getType(); return (res == null) ? null : TypeHandler.createValue(res, type); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public Object getOptionObject(String opt) { String res = getOptionValue(opt); Option option = resolveOption(opt); if (option == null) { return null; } Object type = option.getType(); return (res == null) ? null : TypeHandler.createValue(res, type); } CommandLine(); private Option resolveOption(String); }</FCTX> <ECTX>public class Option { public Option(String, String); public Option(String, boolean, String); public Option(String, String, boolean, String); public Object getType(); } public class TypeHandler { public static Object createValue(String, Object); }</ECTX>","<FCTX>CommandLine { public Object getOptionObject(String opt) { String res = getOptionValue(opt); Option option = resolveOption(opt); if (option == null) { return null; } Object type = option.getType(); return (res == null) ? null : TypeHandler.createValue(res, type); } CommandLine(); <PRIVATE_FCTX>private Option resolveOption(String);</PRIVATE_FCTX> }</FCTX> <ECTX>public class Option { public Option(String, String); public Option(String, boolean, String); public Option(String, String, boolean, String); public Object getType(); } public class TypeHandler { public static Object createValue(String, Object); }</ECTX>"
Cli_1_7_CommandLine,Cli,1,7,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public Object getOptionObject(char opt) { return getOptionObject(String.valueOf(opt)); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public Object getOptionObject(char opt) { return getOptionObject(String.valueOf(opt)); } CommandLine(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public Object getOptionObject(char opt) { return getOptionObject(String.valueOf(opt)); } CommandLine(); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_8_CommandLine,Cli,1,8,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public String getOptionValue(String opt) { String[] values = getOptionValues(opt); return (values == null) ? null : values[0]; } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public String getOptionValue(String opt) { String[] values = getOptionValues(opt); return (values == null) ? null : values[0]; } CommandLine(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public String getOptionValue(String opt) { String[] values = getOptionValues(opt); return (values == null) ? null : values[0]; } CommandLine(); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Cli_1_9_CommandLine,Cli,1,9,org.apache.commons.cli.CommandLine,CommandLine,src/java/org/apache/commons/cli/CommandLine.java,CommandLine_ESTest,org/apache/commons/cli/CommandLine_ESTest.java,"package org.apache.commons.cli;","import java.util.Collection;|import java.util.Iterator;|import java.util.LinkedList;|import java.util.List;|import java.util.Set;|import java.util.HashSet;","CommandLine { public String getOptionValue(char opt) { return getOptionValue(String.valueOf(opt)); } CommandLine(); public boolean hasOption(String); public boolean hasOption(char); public Object getOptionObject(String); public Object getOptionObject(char); public String getOptionValue(String); public String getOptionValue(char); public String[] getOptionValues(String); public String[] getOptionValues(char); public String getOptionValue(String, String); public String getOptionValue(char, String); public String[] getArgs(); public List getArgList(); void addArg(String); void addOption(Option); public Iterator iterator(); public Option[] getOptions(); }","<FCTX>CommandLine { public String getOptionValue(char opt) { return getOptionValue(String.valueOf(opt)); } CommandLine(); }</FCTX> <ECTX></ECTX>","<FCTX>CommandLine { public String getOptionValue(char opt) { return getOptionValue(String.valueOf(opt)); } CommandLine(); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
