id,project,version,number_method_by_version,modified_class,focal_class,path_focal_class_in_project,test_class,path_test_class_scaffolding,package_focal_class,imports_focal_class,src_fm_fc_ms_ff,src_fm_fc_dctx,src_fm_fc_dctx_priv
Csv_1_0_ExtendedBufferedReader,Csv,1,0,org.apache.commons.csv.ExtendedBufferedReader,ExtendedBufferedReader,src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader_ESTest,org/apache/commons/csv/ExtendedBufferedReader_ESTest.java,"package org.apache.commons.csv;","import java.io.BufferedReader;|import java.io.IOException;|import java.io.Reader;","ExtendedBufferedReader extends BufferedReader { @Override public int read() throws IOException { int current = super.read(); if (current == '\r' || (current == '\n' && lastChar != '\r')) { lineCounter++; } lastChar = current; return lastChar; } ExtendedBufferedReader(Reader); @Override public int read(); int readAgain(); @Override public int read(char[], int, int); @Override public String readLine(); int lookAhead(); int getLineNumber(); static final int END_OF_STREAM = -1; static final int UNDEFINED = -2; }","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public int read() throws IOException { int current = super.read(); if (current == '\r' || (current == '\n' && lastChar != '\r')) { lineCounter++; } lastChar = current; return lastChar; } ExtendedBufferedReader(Reader); private int lastChar = UNDEFINED; private int lineCounter = 0; }</FCTX> <ECTX></ECTX>","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public int read() throws IOException { int current = super.read(); if (current == '\r' || (current == '\n' && lastChar != '\r')) { lineCounter++; } lastChar = current; return lastChar; } ExtendedBufferedReader(Reader); <PRIVATE_FCTX>private int lastChar = UNDEFINED; private int lineCounter = 0;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_1_1_ExtendedBufferedReader,Csv,1,1,org.apache.commons.csv.ExtendedBufferedReader,ExtendedBufferedReader,src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader_ESTest,org/apache/commons/csv/ExtendedBufferedReader_ESTest.java,"package org.apache.commons.csv;","import java.io.BufferedReader;|import java.io.IOException;|import java.io.Reader;","ExtendedBufferedReader extends BufferedReader { @Override public int read(char[] buf, int offset, int length) throws IOException { if (length == 0) { return 0; } int len = super.read(buf, offset, length); if (len > 0) { for (int i = offset; i < offset + len; i++) { char ch = buf[i]; if (ch == '\n') { if ('\r' != (i > 0 ? buf[i-1]: lastChar)) { lineCounter++; } } else if (ch == '\r') { lineCounter++; } } lastChar = buf[offset + len - 1]; } else if (len == -1) { lastChar = END_OF_STREAM; } return len; } ExtendedBufferedReader(Reader); @Override public int read(); int readAgain(); @Override public int read(char[], int, int); @Override public String readLine(); int lookAhead(); int getLineNumber(); static final int END_OF_STREAM = -1; static final int UNDEFINED = -2; }","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public int read(char[] buf, int offset, int length) throws IOException { if (length == 0) { return 0; } int len = super.read(buf, offset, length); if (len > 0) { for (int i = offset; i < offset + len; i++) { char ch = buf[i]; if (ch == '\n') { if ('\r' != (i > 0 ? buf[i-1]: lastChar)) { lineCounter++; } } else if (ch == '\r') { lineCounter++; } } lastChar = buf[offset + len - 1]; } else if (len == -1) { lastChar = END_OF_STREAM; } return len; } ExtendedBufferedReader(Reader); private int lastChar = UNDEFINED; private int lineCounter = 0; }</FCTX> <ECTX></ECTX>","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public int read(char[] buf, int offset, int length) throws IOException { if (length == 0) { return 0; } int len = super.read(buf, offset, length); if (len > 0) { for (int i = offset; i < offset + len; i++) { char ch = buf[i]; if (ch == '\n') { if ('\r' != (i > 0 ? buf[i-1]: lastChar)) { lineCounter++; } } else if (ch == '\r') { lineCounter++; } } lastChar = buf[offset + len - 1]; } else if (len == -1) { lastChar = END_OF_STREAM; } return len; } ExtendedBufferedReader(Reader); <PRIVATE_FCTX>private int lastChar = UNDEFINED; private int lineCounter = 0;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_1_2_ExtendedBufferedReader,Csv,1,2,org.apache.commons.csv.ExtendedBufferedReader,ExtendedBufferedReader,src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,ExtendedBufferedReader_ESTest,org/apache/commons/csv/ExtendedBufferedReader_ESTest.java,"package org.apache.commons.csv;","import java.io.BufferedReader;|import java.io.IOException;|import java.io.Reader;","ExtendedBufferedReader extends BufferedReader { @Override public String readLine() throws IOException { String line = super.readLine(); if (line != null) { if (line.length() > 0) { lastChar = line.charAt(line.length() - 1); } lineCounter++; } else { lastChar = END_OF_STREAM; } return line; } ExtendedBufferedReader(Reader); @Override public int read(); int readAgain(); @Override public int read(char[], int, int); @Override public String readLine(); int lookAhead(); int getLineNumber(); static final int END_OF_STREAM = -1; static final int UNDEFINED = -2; }","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public String readLine() throws IOException { String line = super.readLine(); if (line != null) { if (line.length() > 0) { lastChar = line.charAt(line.length() - 1); } lineCounter++; } else { lastChar = END_OF_STREAM; } return line; } ExtendedBufferedReader(Reader); private int lastChar = UNDEFINED; private int lineCounter = 0; }</FCTX> <ECTX></ECTX>","<FCTX>ExtendedBufferedReader extends BufferedReader { @Override public String readLine() throws IOException { String line = super.readLine(); if (line != null) { if (line.length() > 0) { lastChar = line.charAt(line.length() - 1); } lineCounter++; } else { lastChar = END_OF_STREAM; } return line; } ExtendedBufferedReader(Reader); <PRIVATE_FCTX>private int lastChar = UNDEFINED; private int lineCounter = 0;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_0_CSVRecord,Csv,2,0,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public String get(final int i) { return values[i]; } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String get(final int i) { return values[i]; } CSVRecord(String[], Map<String,Integer>, String, long); private final String[] values; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String get(final int i) { return values[i]; } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final String[] values;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_1_CSVRecord,Csv,2,1,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public String get(final String name) { if (mapping == null) { throw new IllegalStateException( ""No header mapping was specified, the record values can't be accessed by name""); } final Integer index = mapping.get(name); try { return index != null ? values[index.intValue()] : null; } catch (ArrayIndexOutOfBoundsException e) { throw new IllegalArgumentException( String.format( ""Index for header '%s' is %d but CSVRecord only has %d values!"", name, index.intValue(), values.length)); } } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String get(final String name) { if (mapping == null) { throw new IllegalStateException( ""No header mapping was specified, the record values can't be accessed by name""); } final Integer index = mapping.get(name); try { return index != null ? values[index.intValue()] : null; } catch (ArrayIndexOutOfBoundsException e) { throw new IllegalArgumentException( String.format( ""Index for header '%s' is %d but CSVRecord only has %d values!"", name, index.intValue(), values.length)); } } CSVRecord(String[], Map<String,Integer>, String, long); private final String[] values; private final Map<String, Integer> mapping; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String get(final String name) { if (mapping == null) { throw new IllegalStateException( ""No header mapping was specified, the record values can't be accessed by name""); } final Integer index = mapping.get(name); try { return index != null ? values[index.intValue()] : null; } catch (ArrayIndexOutOfBoundsException e) { throw new IllegalArgumentException( String.format( ""Index for header '%s' is %d but CSVRecord only has %d values!"", name, index.intValue(), values.length)); } } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final String[] values; private final Map<String, Integer> mapping;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_2_CSVRecord,Csv,2,2,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public boolean isConsistent() { return mapping == null ? true : mapping.size() == values.length; } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isConsistent() { return mapping == null ? true : mapping.size() == values.length; } CSVRecord(String[], Map<String,Integer>, String, long); private final String[] values; private final Map<String, Integer> mapping; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isConsistent() { return mapping == null ? true : mapping.size() == values.length; } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final String[] values; private final Map<String, Integer> mapping;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_3_CSVRecord,Csv,2,3,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public boolean isMapped(final String name) { return mapping != null ? mapping.containsKey(name) : false; } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isMapped(final String name) { return mapping != null ? mapping.containsKey(name) : false; } CSVRecord(String[], Map<String,Integer>, String, long); private final Map<String, Integer> mapping; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isMapped(final String name) { return mapping != null ? mapping.containsKey(name) : false; } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final Map<String, Integer> mapping;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_4_CSVRecord,Csv,2,4,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public boolean isSet(final String name) { return isMapped(name) && mapping.get(name).intValue() < values.length; } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isSet(final String name) { return isMapped(name) && mapping.get(name).intValue() < values.length; } CSVRecord(String[], Map<String,Integer>, String, long); private final String[] values; private final Map<String, Integer> mapping; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public boolean isSet(final String name) { return isMapped(name) && mapping.get(name).intValue() < values.length; } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final String[] values; private final Map<String, Integer> mapping;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_5_CSVRecord,Csv,2,5,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public Iterator<String> iterator() { return Arrays.asList(values).iterator(); } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public Iterator<String> iterator() { return Arrays.asList(values).iterator(); } CSVRecord(String[], Map<String,Integer>, String, long); private final String[] values; }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public Iterator<String> iterator() { return Arrays.asList(values).iterator(); } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX>private final String[] values;</PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
Csv_2_6_CSVRecord,Csv,2,6,org.apache.commons.csv.CSVRecord,CSVRecord,src/main/java/org/apache/commons/csv/CSVRecord.java,CSVRecord_ESTest,org/apache/commons/csv/CSVRecord_ESTest.java,"package org.apache.commons.csv;","import java.io.Serializable;|import java.util.Arrays;|import java.util.Iterator;|import java.util.Map;","CSVRecord implements Serializable, Iterable<String> { public String getComment() { return comment; } CSVRecord(String[], Map<String,Integer>, String, long); public String get(int); public String get(String); public boolean isConsistent(); public boolean isMapped(String); public boolean isSet(String); public Iterator<String> iterator(); String[] values(); public String getComment(); public long getRecordNumber(); public int size(); @Override public String toString(); }","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String getComment() { return comment; } CSVRecord(String[], Map<String,Integer>, String, long); }</FCTX> <ECTX></ECTX>","<FCTX>CSVRecord implements Serializable, Iterable<String> { public String getComment() { return comment; } CSVRecord(String[], Map<String,Integer>, String, long); <PRIVATE_FCTX></PRIVATE_FCTX> }</FCTX> <ECTX></ECTX>"
